bet_target_name,external_league_id,league_name,sport_id,sport_name
MuSa,3405,2020 Ykkönen,soccer,Soccer
Tallinna FC Flora,3253,2020 A Le Coq Premium Liiga,soccer,Soccer
FC Granit Mikashevichi,3314,2020 Belarus Division 1,soccer,Soccer
Atlético San Luis,2928,2020 Liga BBVA Bancomer,soccer,Soccer
SJK,3412,2020 Veikkausliiga,soccer,Soccer
"Brymer, G",3361,2020 US Pro Tennis Series West,tennis,Tennis
Real Salt Lake,3053,2020 MLS,soccer,Soccer
"Valiev, T",2897,2020 Ultimate Fighting Championship,mma,MMA
La U Universitarios,3350,2020 Union de Clubes de Primera División,soccer,Soccer
NULL,3214,2020 FIA Formula One World Championship,motor-sports,Motor Racing
NBA Outrights 2019/20,3347,NBA Futures,basketball,Basketball
"Sobotta, P",2897,2020 Ultimate Fighting Championship,mma,MMA
Aston Villa,1180,England Premier League,soccer,Soccer
Falkenbergs FF,3285,2020 Allsvenskan,soccer,Soccer
"Herbert, J",2897,2020 Ultimate Fighting Championship,mma,MMA
SC Grobinas,3417,2020 Latvia 1. Liga,soccer,Soccer
Minnesota Wild,321,NHL,ice-hockey,Hockey
Miedz Legnica,2411,2020/2021 Polish First League,soccer,Soccer
"Ogai, S",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Shakhtar Donetsk,1214,2019/2020 Premier League,soccer,Soccer
Miami Marlins,373,MLB,baseball,Baseball
Ponferradina,2366,2019/2020 LaLiga 1|2|3,soccer,Soccer
Eastern Suburbs,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Cagliari,2398,2019/2020 Serie A TIM,soccer,Soccer
"Vickery, S",3333,2020 US Pro Tennis Series Women,tennis,Tennis
FK Dinamo Riga,3417,2020 Latvia 1. Liga,soccer,Soccer
"Kryuchkov, E",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Næstved BK,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
Vålerenga,3351,2020 Eliteserien,soccer,Soccer
"Stefani, L",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Rosenborg BK,3351,2020 Eliteserien,soccer,Soccer
Seattle Sounders,3053,2020 MLS,soccer,Soccer
Urawa Red Diamonds,3139,2020 J. League,soccer,Soccer
"Babkin, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Riverside Olympic FC,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
Netherlands,2898,2020 European UEFA European Football Championship,soccer,Soccer
FK Orsha,3314,2020 Belarus Division 1,soccer,Soccer
Brooklyn Nets,320,NBA,basketball,Basketball
Russia,2898,2020 European UEFA European Football Championship,soccer,Soccer
Wolverhampton Wanderers,2454,2019/2020 UEFA Europa League,soccer,Soccer
Örgryte IS,3284,2020 Superettan,soccer,Soccer
Canberra Raiders,3296,2020 Telstra Premiership,rugby-league,Rugby League
Caykur Rizespor,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Lokomotiv Tbilisi,3220,2020 Georgia Erovnuli Liga,soccer,Soccer
Croatia,2898,2020 European UEFA European Football Championship,soccer,Soccer
FC Cincinnati,3053,2020 MLS,soccer,Soccer
"Rozenstruik, J",2897,2020 Ultimate Fighting Championship,mma,MMA
Mjøndalen,3351,2020 Eliteserien,soccer,Soccer
Kyoto Sanga,3181,2020 J. League 2,soccer,Soccer
Green Bay Packers,319,NFL,american-football,Football
Kolding IF,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
FC Polotsk 2019,3336,2020/2021 Belarusian Cup,soccer,Soccer
CD Guadalajara,2928,2020 Liga BBVA Bancomer,soccer,Soccer
FK Sputnik,3336,2020/2021 Belarusian Cup,soccer,Soccer
"Volkov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"Vakar, S",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Viking FK,3351,2020 Eliteserien,soccer,Soccer
Hartford Athletic FC,3227,2020 USL,soccer,Soccer
Vancouver Canucks,321,NHL,ice-hockey,Hockey
Los Angeles Clippers,320,NBA,basketball,Basketball
Shonan Bellmare,3139,2020 J. League,soccer,Soccer
Sporting CP,1283,2019/2020 Liga NOS,soccer,Soccer
"Luque, V",2897,2020 Ultimate Fighting Championship,mma,MMA
Termalica Bruk-Bet Nieciecza,2411,2020/2021 Polish First League,soccer,Soccer
New York Jets,319,NFL,american-football,Football
Seoul E-Land FC,3255,2020 Korea Republic K-League 2,soccer,Soccer
Perth SC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
Houston Astros,373,MLB,baseball,Baseball
Ventforet Kofu,3181,2020 J. League 2,soccer,Soccer
Sagan Tosu,3139,2020 J. League,soccer,Soccer
Rio Grande Valley FC Toros,3227,2020 USL,soccer,Soccer
Yomiuri Giants,3377,2020 Nippon Professional Baseball,baseball,Baseball
KF Tirana,2444,2019/2020 Kategoria Superiore,soccer,Soccer
FC Tokyo,3139,2020 J. League,soccer,Soccer
Prykarpattya Ivano-Frankivsk,2616,2019/2020 Persha Liha,soccer,Soccer
"Ankalaev, M",2897,2020 Ultimate Fighting Championship,mma,MMA
Philadelphia Flyers,321,NHL,ice-hockey,Hockey
New York Red Bulls II,3227,2020 USL,soccer,Soccer
Denizlispor Kulübü,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
BK Häcken,3285,2020 Allsvenskan,soccer,Soccer
"Whittaker, R",2897,2020 Ultimate Fighting Championship,mma,MMA
Chicago Blackhawks,321,NHL,ice-hockey,Hockey
Philadelphia Union,3053,2020 MLS,soccer,Soccer
Kolos Kovalyovka,1214,2019/2020 Premier League,soccer,Soccer
Aalesunds FK,3351,2020 Eliteserien,soccer,Soccer
"Dalby, N",2897,2020 Ultimate Fighting Championship,mma,MMA
Pittsburgh Pirates,373,MLB,baseball,Baseball
Bursaspor,2543,2019/2020 PTT 1. Lig,soccer,Soccer
Rockingham City FC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
Moreton Bay United FC,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
New York Rangers,321,NHL,ice-hockey,Hockey
Carolina Hurricanes,321,NHL,ice-hockey,Hockey
Nashville Predators,321,NHL,ice-hockey,Hockey
South Hobart SC,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
Vejle BK,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
Stabæk,3351,2020 Eliteserien,soccer,Soccer
Sangju Sangmu,3188,2020 Korea Republic K-League 1,soccer,Soccer
Los Angeles Angels,373,MLB,baseball,Baseball
Cruz Azul,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Pumas UNAM,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Carolina Panthers,319,NFL,american-football,Football
Brescia,2398,2019/2020 Serie A TIM,soccer,Soccer
Benfica,1283,2019/2020 Liga NOS,soccer,Soccer
Kansas City Chiefs,319,NFL,american-football,Football
Melbourne,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
Chicago Red Stars Women,3415,2020 US NWSL Challenge Cup Women,soccer,Soccer
Tampa Bay Buccaneers,319,NFL,american-football,Football
Chiefs,3344,2020 Super Rugby Mini-Series,rugby-union,Rugby Union
Orlando Magic,320,NBA,basketball,Basketball
Atlas,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Otago Nuggets,3406,2020 New Zealand Sal's NBL,basketball,Basketball
Sheffield United,1180,England Premier League,soccer,Soccer
New Orleans Pelicans,320,NBA,basketball,Basketball
Norwich City,1180,England Premier League,soccer,Soccer
Stal Mielec,2411,2020/2021 Polish First League,soccer,Soccer
Woden Weston FC,3293,2020 National Premier League Capital Territory,soccer,Soccer
"Lopez, L",3361,2020 US Pro Tennis Series West,tennis,Tennis
"Molodtsov, D",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"van den Bergh, D",3437,2020 BetVictor World Matchplay,darts,Darts
Salernitana,2399,2019/2020 Serie B Eurobet,soccer,Soccer
"Emeev, R",2897,2020 Ultimate Fighting Championship,mma,MMA
"Pandur, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Mito Hollyhock,3181,2020 J. League 2,soccer,Soccer
Getafe,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
FC Vaduz,1233,2019/2020 Brack.ch Challenge League,soccer,Soccer
Sevilla,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
"Koepka, B",3444,2020 3M Open,golf,Golf
St. George Illawarra Dragons,3296,2020 Telstra Premiership,rugby-league,Rugby League
Lecce,2398,2019/2020 Serie A TIM,soccer,Soccer
Hammarby IF,3285,2020 Allsvenskan,soccer,Soccer
Adana Demirspor,2543,2019/2020 PTT 1. Lig,soccer,Soccer
"Sewing, S",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Shanghai Shenhua,3155,2020 Chinese Super League,soccer,Soccer
SC Kriens,1233,2019/2020 Brack.ch Challenge League,soccer,Soccer
PFC Oleksandria,1214,2019/2020 Premier League,soccer,Soccer
Club Tijuana,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Minnesota United,3053,2020 MLS,soccer,Soccer
Paris Saint-Germain,2828,2019/2020 Coupe de France,soccer,Soccer
FK Smiltene/BJSS,3417,2020 Latvia 1. Liga,soccer,Soccer
Henan Jianye,3155,2020 Chinese Super League,soccer,Soccer
Gil Vicente,1283,2019/2020 Liga NOS,soccer,Soccer
"van der Voort, V",3437,2020 BetVictor World Matchplay,darts,Darts
"Bazilevsky, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Ulsan Hyundai Horangi,3188,2020 Korea Republic K-League 1,soccer,Soccer
"Castaneda, J",2897,2020 Ultimate Fighting Championship,mma,MMA
Germany,2898,2020 European UEFA European Football Championship,soccer,Soccer
Manchester City,1180,England Premier League,soccer,Soccer
"Till, D",2897,2020 Ultimate Fighting Championship,mma,MMA
Seongnam FC,3188,2020 Korea Republic K-League 1,soccer,Soccer
Dallas Stars,321,NHL,ice-hockey,Hockey
Estonia,3135,2020 International Friendlies,basketball,Basketball
Rukh Lviv,2616,2019/2020 Persha Liha,soccer,Soccer
FC Voluntari,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
Charleston Battery,3227,2020 USL,soccer,Soccer
Philadelphia Eagles,319,NFL,american-football,Football
Saint Louis FC,3227,2020 USL,soccer,Soccer
Atlanta Falcons,319,NFL,american-football,Football
"Petrov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Yokohama DeNA BayStars,3377,2020 Nippon Professional Baseball,baseball,Baseball
Florida Panthers,321,NHL,ice-hockey,Hockey
Tallinna FC Flora U21,3251,2020 Esiliiga A,soccer,Soccer
Pachuca,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Fatih Karagümrük Istanbul,2543,2019/2020 PTT 1. Lig,soccer,Soccer
West Indies (3rd Test),2927,2020 ICC Test Championship,cricket,Cricket
Orange County Blues,3227,2020 USL,soccer,Soccer
"Shagarov, O",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Club Necaxa,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Kristiansund BK,3351,2020 Eliteserien,soccer,Soccer
SPAL,2398,2019/2020 Serie A TIM,soccer,Soccer
Hebei China Fortune FC,3155,2020 Chinese Super League,soccer,Soccer
Kashiwa Reysol,3139,2020 J. League,soccer,Soccer
"Brown, J",3313,2020 Icons of Darts Live League,darts,Darts
Cracovia Kraków,2609,2019/2020 Polish Cup,soccer,Soccer
"Sayanov, D",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Lithuania,3135,2020 International Friendlies,basketball,Basketball
"Seibert, J",3326,2020 TTStar Series,table-tennis,Table Tennis
FC Basel,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
Hirnyk-Sport Komsomolsk,2616,2019/2020 Persha Liha,soccer,Soccer
Baltimore Orioles,373,MLB,baseball,Baseball
Umeå FC,3284,2020 Superettan,soccer,Soccer
LASK Linz,2454,2019/2020 UEFA Europa League,soccer,Soccer
Aalborg BK,1122,2019/2020 ALKA Superliga,soccer,Soccer
Sassuolo,2398,2019/2020 Serie A TIM,soccer,Soccer
TPS,3412,2020 Veikkausliiga,soccer,Soccer
"Ilyukhin, E",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
FC Lokomotiv Daugavpils,3417,2020 Latvia 1. Liga,soccer,Soccer
Vegas Golden Knights,321,NHL,ice-hockey,Hockey
Seattle Mariners,373,MLB,baseball,Baseball
Šiauliai,3363,2020 1 Lyga,soccer,Soccer
"Lower, J",3442,2020 Price Cutter Charity Championship Presented by Dr Pepper,golf,Golf
Gaz Metan Medias,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
"Nikiforov, O",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
North Melbourne,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
FC Blau-Weiss Linz,2548,2019/2020 Austria 2. Liga,soccer,Soccer
New York Yankees,641,MLB,baseball,Baseball
Juventus,2398,2019/2020 Serie A TIM,soccer,Soccer
"Lewis, A",3437,2020 BetVictor World Matchplay,darts,Darts
"Mein, J",3000,2020 Bellator 85,mma,MMA
Los Angeles Galaxy II,3227,2020 USL,soccer,Soccer
Central Coast Mariners,2712,2019/2020 Hyundai A-League,soccer,Soccer
Brisbane Strikers,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Puszcza Niepolomice,2411,2020/2021 Polish First League,soccer,Soccer
Columbus Crew,3053,2020 MLS,soccer,Soccer
Eintracht Frankfurt,2454,2019/2020 UEFA Europa League,soccer,Soccer
SV Guntamatic Ried,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Chiba Lotte Marines,3377,2020 Nippon Professional Baseball,baseball,Baseball
Rigas Futbola Skola,3274,2020 LMT Virsliga,soccer,Soccer
Cincinnati Reds,373,MLB,baseball,Baseball
Pescara,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Shijiazhuang Ever Bright F.C.,3155,2020 Chinese Super League,soccer,Soccer
Newcastle United,1180,England Premier League,soccer,Soccer
FC Chindia Targoviste,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
Sacramento Republic,3227,2020 USL,soccer,Soccer
FC Porto,1283,2019/2020 Liga NOS,soccer,Soccer
Beijing Guoan,3155,2020 Chinese Super League,soccer,Soccer
"Piercy, S",3444,2020 3M Open,golf,Golf
Edmonton Oilers,321,NHL,ice-hockey,Hockey
"Aspinall, T",2897,2020 Ultimate Fighting Championship,mma,MMA
New York Mets,373,MLB,baseball,Baseball
Belgium,2898,2020 European UEFA European Football Championship,soccer,Soccer
Phoenix Rising FC,3227,2020 USL,soccer,Soccer
Cremonese,2399,2019/2020 Serie B Eurobet,soccer,Soccer
England,2927,2020 ICC Test Championship,cricket,Cricket
"Dolehide, Caroline",3354,2020 Grand Slam Tennis Tours MatchPlay 120 Women,tennis,Tennis
Charlotte Independence,3227,2020 USL,soccer,Soccer
"Gribkov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
