name,state,data_endpoint,login_url,state_id
FanDuel Sportsbook,South Carolina,https://sc.sportsbook.fanduel.com/CallBroker.ashx,https://account.sc.sportsbook.fanduel.com/login,41
FanDuel Sportsbook,South Dakota,https://sd.sportsbook.fanduel.com/CallBroker.ashx,https://account.sd.sportsbook.fanduel.com/login,42
FanDuel Sportsbook,Tennessee,https://tn.sportsbook.fanduel.com/CallBroker.ashx,https://account.tn.sportsbook.fanduel.com/login,43
FanDuel Sportsbook,Texas,https://tx.sportsbook.fanduel.com/CallBroker.ashx,https://account.tx.sportsbook.fanduel.com/login,44
FanDuel Sportsbook,Utah,https://ut.sportsbook.fanduel.com/CallBroker.ashx,https://account.ut.sportsbook.fanduel.com/login,45
FanDuel Sportsbook,Vermont,https://vt.sportsbook.fanduel.com/CallBroker.ashx,https://account.vt.sportsbook.fanduel.com/login,46
FanDuel Sportsbook,Virginia,https://va.sportsbook.fanduel.com/CallBroker.ashx,https://account.va.sportsbook.fanduel.com/login,47
FanDuel Sportsbook,Washington,https://wa.sportsbook.fanduel.com/CallBroker.ashx,https://account.wa.sportsbook.fanduel.com/login,48
FanDuel Sportsbook,West Virginia,https://wv.sportsbook.fanduel.com/CallBroker.ashx,https://account.wv.sportsbook.fanduel.com/login,49
FanDuel Sportsbook,Wisconsin,https://wi.sportsbook.fanduel.com/CallBroker.ashx,https://account.wi.sportsbook.fanduel.com/login,50
FanDuel Sportsbook,Wyoming,https://wy.sportsbook.fanduel.com/CallBroker.ashx,https://account.wy.sportsbook.fanduel.com/login,51
DraftKings Sportsbook,Alabama,https://gaming.draftkings.com//sites/US-AL-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,1
DraftKings Sportsbook,Alaska,https://gaming.draftkings.com//sites/US-AK-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,2
DraftKings Sportsbook,Arizona,https://gaming.draftkings.com//sites/US-AZ-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,3
DraftKings Sportsbook,Arkansas,https://gaming.draftkings.com//sites/US-AR-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,4
DraftKings Sportsbook,California,https://gaming.draftkings.com//sites/US-CA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,5
DraftKings Sportsbook,Colorado,https://gaming.draftkings.com//sites/US-CO-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,6
DraftKings Sportsbook,Connecticut,https://gaming.draftkings.com//sites/US-CT-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,7
DraftKings Sportsbook,Delaware,https://gaming.draftkings.com//sites/US-DE-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,8
DraftKings Sportsbook,District of Columbia,https://gaming.draftkings.com//sites/US-DC-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,9
DraftKings Sportsbook,Florida,https://gaming.draftkings.com//sites/US-FL-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,10
DraftKings Sportsbook,Georgia,https://gaming.draftkings.com//sites/US-GA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,11
DraftKings Sportsbook,Hawaii,https://gaming.draftkings.com//sites/US-HI-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,12
DraftKings Sportsbook,Idaho,https://gaming.draftkings.com//sites/US-ID-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,13
DraftKings Sportsbook,Illinois,https://gaming.draftkings.com//sites/US-IL-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,14
DraftKings Sportsbook,Indiana,https://gaming.draftkings.com//sites/US-IN-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,15
DraftKings Sportsbook,Iowa,https://gaming.draftkings.com//sites/US-IA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,16
DraftKings Sportsbook,Kansas,https://gaming.draftkings.com//sites/US-KS-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,17
DraftKings Sportsbook,Kentucky,https://gaming.draftkings.com//sites/US-KY-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,18
DraftKings Sportsbook,Louisiana,https://gaming.draftkings.com//sites/US-LA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,19
DraftKings Sportsbook,Maine,https://gaming.draftkings.com//sites/US-ME-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,20
DraftKings Sportsbook,Maryland,https://gaming.draftkings.com//sites/US-MD-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,21
DraftKings Sportsbook,Massachusetts,https://gaming.draftkings.com//sites/US-MA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,22
DraftKings Sportsbook,Michigan,https://gaming.draftkings.com//sites/US-MI-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,23
DraftKings Sportsbook,Minnesota,https://gaming.draftkings.com//sites/US-MN-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,24
DraftKings Sportsbook,Mississippi,https://gaming.draftkings.com//sites/US-MS-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,25
DraftKings Sportsbook,Missouri,https://gaming.draftkings.com//sites/US-MO-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,26
DraftKings Sportsbook,Montana,https://gaming.draftkings.com//sites/US-MT-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,27
DraftKings Sportsbook,Nebraska,https://gaming.draftkings.com//sites/US-NE-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,28
DraftKings Sportsbook,Nevada,https://gaming.draftkings.com//sites/US-NV-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,29
DraftKings Sportsbook,New Hampshire,https://gaming.draftkings.com//sites/US-NH-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,30
DraftKings Sportsbook,New Jersey,https://gaming.draftkings.com//sites/US-NJ-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,31
DraftKings Sportsbook,New Mexico,https://gaming.draftkings.com//sites/US-NM-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,32
DraftKings Sportsbook,New York,https://gaming.draftkings.com//sites/US-NY-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,33
DraftKings Sportsbook,North Carolina,https://gaming.draftkings.com//sites/US-NC-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,34
DraftKings Sportsbook,North Dakota,https://gaming.draftkings.com//sites/US-ND-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,35
DraftKings Sportsbook,Ohio,https://gaming.draftkings.com//sites/US-OH-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,36
DraftKings Sportsbook,Oklahoma,https://gaming.draftkings.com//sites/US-OK-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,37
DraftKings Sportsbook,Oregon,https://gaming.draftkings.com//sites/US-OR-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,38
DraftKings Sportsbook,Pennsylvania,https://gaming.draftkings.com//sites/US-PA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,39
DraftKings Sportsbook,Rhode Island,https://gaming.draftkings.com//sites/US-RI-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,40
DraftKings Sportsbook,South Carolina,https://gaming.draftkings.com//sites/US-SC-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,41
DraftKings Sportsbook,South Dakota,https://gaming.draftkings.com//sites/US-SD-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,42
DraftKings Sportsbook,Tennessee,https://gaming.draftkings.com//sites/US-TN-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,43
DraftKings Sportsbook,Texas,https://gaming.draftkings.com//sites/US-TX-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,44
DraftKings Sportsbook,Utah,https://gaming.draftkings.com//sites/US-UT-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,45
DraftKings Sportsbook,Vermont,https://gaming.draftkings.com//sites/US-VT-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,46
DraftKings Sportsbook,Virginia,https://gaming.draftkings.com//sites/US-VA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,47
DraftKings Sportsbook,Washington,https://gaming.draftkings.com//sites/US-WA-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,48
DraftKings Sportsbook,West Virginia,https://gaming.draftkings.com//sites/US-WV-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,49
DraftKings Sportsbook,Wisconsin,https://gaming.draftkings.com//sites/US-WI-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,50
DraftKings Sportsbook,Wyoming,https://gaming.draftkings.com//sites/US-WY-SB/api/betting/v1/bets?size=50&types=all,https://sportsbook.draftkings.com/login?returnUrlPath=/featured,51
